HitID	URL	QuestionText	QuestionVariable	Answer	Condition	Knowledge	Comment	IsSkip	Debug_AnnotationFrom	Debug_RawText	Debug_HasOverride	QuestionTextProcessed	QuestionVariableExpand	ConditionExpand	HasLabelBackIssue	LabelBackIssue	hasAdhocFixForLabelBack
167052241	https://socratic.org/questions/what-is-the-volume-occupied-by-33-0-liters-of-gas-at-4-0-atm-after-it-has-been-c	What is the volume occupied by 33.0 liters of gas at 4.0 atm after it has been compressed at constant temperature to 0.60 atm?	[{"type":"physical unit","value":"Volume2 [OF] gas [IN] liters"}]	[{"type":"physical unit","value":"220.00 liters"}]	[{"type":"physical unit","value":"Volume1 [OF] gas [=] \\pu{33.0 liters}"},{"type":"physical unit","value":"Pressure1 [OF] gas [=] \\pu{4.0 atm}"},{"type":"physical unit","value":"Pressure2 [OF] gas [=] \\pu{0.60 atm}"},{"type":"other","value":"ConstantTemperature"}]	[]		0	QAReview	What is the volume occupied by 33.0 liters of gas at 4.0 atm after it has been compressed at constant temperature to 0.60 atm? 	0	What is the volume occupied by 33.0 liters of gas at 4.0 atm after it has been compressed at constant temperature to 0.60 atm?	[{"type":"physical unit","value":"Volume2 [OF] gas [IN] liters","valueExpand":[{"tag":"property_qv","content":"Volume2","slot":"ActionToClass"},{"tag":"subject_qv","content":"gas","slot":"46_49"},{"tag":"unit_qv","content":"liters","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Volume1 [OF] gas [=] \\\\pu{33.0 liters}","valueExpand":[{"tag":"property_condition","content":"Volume1","slot":"ActionToClass"},{"tag":"subject_condition","content":"gas","slot":"46_49"},{"tag":"value_condition","content":"33.0 liters","slot":"31_42"}]},{"type":"physical unit","value":"Pressure1 [OF] gas [=] \\\\pu{4.0 atm}","valueExpand":[{"tag":"property_condition","content":"Pressure1","slot":"ActionToClass"},{"tag":"subject_condition","content":"gas","slot":"46_49"},{"tag":"value_condition","content":"4.0 atm","slot":"53_60"}]},{"type":"physical unit","value":"Pressure2 [OF] gas [=] \\\\pu{0.60 atm}","valueExpand":[{"tag":"property_condition","content":"Pressure2","slot":"ActionToClass"},{"tag":"subject_condition","content":"gas","slot":"46_49"},{"tag":"value_condition","content":"0.60 atm","slot":"117_125"}]},{"type":"other","value":"ConstantTemperature","valueExpand":[{"tag":"other_condition","content":"ConstantTemperature","slot":"ActionToClass"}]}]	0		0
167052242	https://socratic.org/questions/if-a-6-03-x-10-6-0-m-solution-of-a-weak-acid-is-20-ionized-what-is-the-pka-for-t	If a 6.03 x 10^(-6.0) M solution of a weak acid is 20% ionized, what is the pKa for the acid?	[{"type":"physical unit","value":"pKa [OF] the acid"}]	[{"type":"physical unit","value":"6.52"}]	[{"type":"physical unit","value":"Molarity [OF] a weak acid [=] \\pu{6.03 x 10^(-6.0) M}"},{"type":"other","value":"a weak acid is 20% ionized"}]	[]		0	QAReview	 If a 6.03 x 10-6.0 M solution of a weak acid is 20 % ionized, what is the pKa for the acid?	0	If a 6.03 x 10^(-6.0) M solution of a weak acid is 20% ionized, what is the pKa for the acid?	[{"type":"physical unit","value":"pKa [OF] the acid","valueExpand":[{"tag":"property_qv","content":"pKa","slot":"ActionToClass"},{"tag":"subject_qv","content":"the acid","slot":"84_92"}]}]	[{"type":"physical unit","value":"Molarity [OF] a weak acid [=] \\\\pu{6.03 x 10^(-6.0) M}","valueExpand":[{"tag":"property_condition","content":"Molarity","slot":"ActionToClass"},{"tag":"subject_condition","content":"a weak acid","slot":"36_47"},{"tag":"value_condition","content":"6.03 x 10^(-6.0) M","slot":"5_23"}]},{"type":"other","value":"a weak acid is 20% ionized","valueExpand":[{"tag":"other_condition","content":"a weak acid is 20% ionized","slot":"ActionToClass"}]}]	0		0
167052243	https://socratic.org/questions/when-the-following-equation-is-balanced-what-is-the-coefficient-for-mg-mg-s-hcl-	When the following equation is balanced, what is the coefficient for Mg? Mg(s) + HCl(aq) -> MgCl2(aq) + H2(g)	[{"type":"physical unit","value":"Coefficient [OF] Mg"}]	[{"type":"physical unit","value":"1"}]	[{"type":"chemical equation","value":"Mg(s) + HCl(aq) -> MgCl2(aq) + H2(g)"}]	[]		0	QAReview	When the following equation is balanced, what is the coefficient for Mg?  #Mg(s) + HCl(aq) -> MgCl_2(aq) + H_2(g)#	0	When the following equation is balanced, what is the coefficient for Mg? Mg(s) + HCl(aq) -> MgCl2(aq) + H2(g)	[{"type":"physical unit","value":"Coefficient [OF] Mg","valueExpand":[{"tag":"property_qv","content":"Coefficient","slot":"ActionToClass"},{"tag":"subject_qv","content":"Mg","slot":"69_71"}]}]	[{"type":"chemical equation","value":"Mg(s) + HCl(aq) -\u003e MgCl2(aq) + H2(g)","valueExpand":[{"tag":"ce_condition","content":"Mg(s) + HCl(aq) -\u003e MgCl2(aq) + H2(g)","slot":"73_109"}]}]	0		0
167052245	https://socratic.org/questions/5967907511ef6b0e52613b2b	What mass is associated with 1L of dioxygen gas at STP?	[{"type":"physical unit","value":"Mass [OF] dioxygen gas [IN] g"}]	[{"type":"physical unit","value":"1.43 g"}]	[{"type":"other","value":"STP"},{"type":"physical unit","value":"Volume [OF] dioxygen gas [=] \\pu{1 L}"}]	[]		0	QAReview	What mass is associated with #1*L# of dioxygen gas at #"STP"#?	0	What mass is associated with 1L of dioxygen gas at STP?	[{"type":"physical unit","value":"Mass [OF] dioxygen gas [IN] g","valueExpand":[{"tag":"property_qv","content":"Mass","slot":"ActionToClass"},{"tag":"subject_qv","content":"dioxygen gas","slot":"35_47"},{"tag":"unit_qv","content":"g","slot":"ActionToClass"}]}]	[{"type":"other","value":"STP","valueExpand":[{"tag":"other_condition","content":"STP","slot":"ActionToClass"}]},{"type":"physical unit","value":"Volume [OF] dioxygen gas [=] \\\\pu{1 L}","valueExpand":[{"tag":"property_condition","content":"Volume","slot":"ActionToClass"},{"tag":"subject_condition","content":"dioxygen gas","slot":"35_47"},{"tag":"value_condition","content":"1L","slot":"29_31"}]}]	0		-1
167052232	https://socratic.org/questions/56d9ed8f7c01497fb9da7217	How do we represent the complete combustion of octane, C8H18(l)?	[{"type":"other","value":"balanced_equation"}]	[{"type":"chemical equation","value":"2 C8H18 + 25 O2 -> 16 CO2 + 18 H2O"}]	[{"type":"other","value":"The complete combustion of octane, C8H18(l)"}]	[]		0	QAReview	How do we represent the complete combustion of #"octane"#, #C_8H_18(l)#?	0	How do we represent the complete combustion of octane, C8H18(l)?	[{"type":"other","value":"balanced_equation","valueExpand":[{"tag":"equation_qv","content":"","slot":"ActionToClass"}]}]	[{"type":"other","value":"The complete combustion of octane, C8H18(l)","valueExpand":[{"tag":"other_condition","content":"The complete combustion of octane, C8H18(l)","slot":"ActionToClass"}]}]	0		0
167052265	https://socratic.org/questions/how-do-you-balance-nh-4-3po-4-pb-no-3-4-pb-3-po-4-4-nh-4no-3	How do you balance (NH4)3PO4 + Pb(NO3)4 -> Pb3(PO4)4 + NH4NO3?	[{"type":"other","value":"balanced_equation"}]	[{"type":"chemical equation","value":"4 (NH4)3PO4 + 3 Pb(NO3)4 -> Pb3(PO4)4 + 12 NH4NO3"}]	[{"type":"chemical equation","value":"(NH4)3PO4 + Pb(NO3)4 -> Pb3(PO4)4 + NH4NO3"}]	[]		0	QAReview	How do you balance #(NH_4)_3PO_4 + Pb(NO_3)_4 -> Pb_3(PO_4)_4 + NH_4NO_3#?	0	How do you balance (NH4)3PO4 + Pb(NO3)4 -> Pb3(PO4)4 + NH4NO3?	[{"type":"other","value":"balanced_equation","valueExpand":[{"tag":"equation_qv","content":"","slot":"ActionToClass"}]}]	[{"type":"chemical equation","value":"(NH4)3PO4 + Pb(NO3)4 -\u003e Pb3(PO4)4 + NH4NO3","valueExpand":[{"tag":"ce_condition","content":"(NH4)3PO4 + Pb(NO3)4 -\u003e Pb3(PO4)4 + NH4NO3","slot":"19_61"}]}]	0		0
167052246	https://socratic.org/questions/what-is-the-maximum-amount-of-silver-in-grams-that-can-be-plated-out-of-5-0-l-of	What is the maximum amount of silver (in grams) that can be plated out of 5.0 L of an AgNO3 solution containing 3.6% Ag by mass? Assume that the density of the solution is 1.01 g/mL?	[{"type":"physical unit","value":"Maximum amount [OF] silver [IN] grams"}]	[{"type":"physical unit","value":"181.80 grams"}]	[{"type":"physical unit","value":"Percentage by mass [OF] Ag in AgNO3 solution [=] \\pu{3.6%}"},{"type":"physical unit","value":"Density [OF] the solution [=] \\pu{1.01 g/mL}"},{"type":"physical unit","value":"Volume [OF] AgNO3 solution [=] \\pu{5.0 L}"}]	[]		0	QAReview	What is the maximum amount of silver (in grams) that can be plated out of 5.0 L of an #AgNO_3# solution containing 3.6% Ag by mass? Assume that the density of the solution is 1.01 g/mL?	0	What is the maximum amount of silver (in grams) that can be plated out of 5.0 L of an AgNO3 solution containing 3.6% Ag by mass? Assume that the density of the solution is 1.01 g/mL?	[{"type":"physical unit","value":"Maximum amount [OF] silver [IN] grams","valueExpand":[{"tag":"property_qv","content":"Maximum amount","slot":"ActionToClass"},{"tag":"subject_qv","content":"silver","slot":"30_36"},{"tag":"unit_qv","content":"grams","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Percentage by mass [OF] Ag in AgNO3 solution [=] \\\\pu{3.6%}","valueExpand":[{"tag":"property_condition","content":"Percentage by mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"Ag in AgNO3 solution","slot":"-1_-1"},{"tag":"value_condition","content":"3.6%","slot":"112_116"}]},{"type":"physical unit","value":"Density [OF] the solution [=] \\\\pu{1.01 g/mL}","valueExpand":[{"tag":"property_condition","content":"Density","slot":"ActionToClass"},{"tag":"subject_condition","content":"the solution","slot":"156_168"},{"tag":"value_condition","content":"1.01 g/mL","slot":"172_181"}]},{"type":"physical unit","value":"Volume [OF] AgNO3 solution [=] \\\\pu{5.0 L}","valueExpand":[{"tag":"property_condition","content":"Volume","slot":"ActionToClass"},{"tag":"subject_condition","content":"AgNO3 solution","slot":"86_100"},{"tag":"value_condition","content":"5.0 L","slot":"74_79"}]}]	1		0
167052247	https://socratic.org/questions/how-many-molecules-of-carbon-dioxide-will-be-produced-if-20-molecules-of-propane	How many molecules of carbon dioxide will be produced if 20 molecules of propane react?	[{"type":"physical unit","value":"Number [OF] carbon dioxide molecules"}]	[{"type":"physical unit","value":"60"}]	[{"type":"physical unit","value":"Number [OF] propane molecules [=] \\pu{20}"}]	[]		0	QAReview	How many molecules of carbon dioxide will be produced if 20 molecules of propane react?	0	How many molecules of carbon dioxide will be produced if 20 molecules of propane react?	[{"type":"physical unit","value":"Number [OF] carbon dioxide molecules","valueExpand":[{"tag":"property_qv","content":"Number","slot":"ActionToClass"},{"tag":"subject_qv","content":"carbon dioxide molecules","slot":"-1_-1"}]}]	[{"type":"physical unit","value":"Number [OF] propane molecules [=] \\\\pu{20}","valueExpand":[{"tag":"property_condition","content":"Number","slot":"ActionToClass"},{"tag":"subject_condition","content":"propane molecules","slot":"-1_-1"},{"tag":"value_condition","content":"20","slot":"57_59"}]}]	2		0
167052248	https://socratic.org/questions/how-much-water-must-be-evaporated-from-60-kilograms-of-a-15-salt-solution-in-ord	How much water must be evaporated from 60 kilograms of a 15% salt solution in order to obtain a 40% solution?	[{"type":"physical unit","value":"Mass [OF] water must be evaporated [IN] kilograms"}]	[{"type":"physical unit","value":"28.50 kilograms"}]	[{"type":"physical unit","value":"Percentage1 by mass [OF] salt in the solution [=] \\pu{15%}"},{"type":"physical unit","value":"Percentage2 by mass [OF] salt in the solution [=] \\pu{40%}"},{"type":"physical unit","value":"Mass1 [OF] salt solution [=] \\pu{60 kilograms}"}]	[]		0	QAReview	How much water must be evaporated from 60 kilograms of a 15 salt solution in order to obtain a 40% solution? 	0	How much water must be evaporated from 60 kilograms of a 15% salt solution in order to obtain a 40% solution?	[{"type":"physical unit","value":"Mass [OF] water must be evaporated [IN] kilograms","valueExpand":[{"tag":"property_qv","content":"Mass","slot":"ActionToClass"},{"tag":"subject_qv","content":"water must be evaporated","slot":"9_33"},{"tag":"unit_qv","content":"kilograms","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Percentage1 by mass [OF] salt in the solution [=] \\\\pu{15%}","valueExpand":[{"tag":"property_condition","content":"Percentage1 by mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"salt in the solution","slot":"-1_-1"},{"tag":"value_condition","content":"15%","slot":"57_60"}]},{"type":"physical unit","value":"Percentage2 by mass [OF] salt in the solution [=] \\\\pu{40%}","valueExpand":[{"tag":"property_condition","content":"Percentage2 by mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"salt in the solution","slot":"-1_-1"},{"tag":"value_condition","content":"40%","slot":"96_99"}]},{"type":"physical unit","value":"Mass1 [OF] salt solution [=] \\\\pu{60 kilograms}","valueExpand":[{"tag":"property_condition","content":"Mass1","slot":"ActionToClass"},{"tag":"subject_condition","content":"salt solution","slot":"61_74"},{"tag":"value_condition","content":"60 kilograms","slot":"39_51"}]}]	2		0
167052249	https://socratic.org/questions/the-weight-of-a-diamond-is-given-in-carats-one-carat-is-equivalent-to-200-mg-a-p	The weight of a diamond is given in carats. One carat is equivalent to 200 mg. A pure diamond is made up entirely of carbon atoms. How many carbon atoms make up a 1.00 carat diamond?	[{"type":"physical unit","value":"Number [OF] carbon atoms"}]	[{"type":"physical unit","value":"1.00 × 10^22"}]	[{"type":"physical unit","value":"Mass [OF] diamond [=] \\pu{1.00 carat}"},{"type":"other","value":"A pure diamond is made up entirely of carbon atoms."},{"type":"other","value":"The weight of a diamond is given in carats."},{"type":"other","value":"One carat is equivalent to 200 mg"}]	[]		0	QAReview	The weight of a diamond is given in carats. One carat is equivalent to 200 mg. A pure diamond is made up entirely of carbon atoms. How many carbon atoms make up a 1.00 carat diamond?	0	The weight of a diamond is given in carats. One carat is equivalent to 200 mg. A pure diamond is made up entirely of carbon atoms. How many carbon atoms make up a 1.00 carat diamond?	[{"type":"physical unit","value":"Number [OF] carbon atoms","valueExpand":[{"tag":"property_qv","content":"Number","slot":"ActionToClass"},{"tag":"subject_qv","content":"carbon atoms","slot":"117_129"}]}]	[{"type":"physical unit","value":"Mass [OF] diamond [=] \\\\pu{1.00 carat}","valueExpand":[{"tag":"property_condition","content":"Mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"diamond","slot":"16_23"},{"tag":"value_condition","content":"1.00 carat","slot":"163_173"}]},{"type":"other","value":"A pure diamond is made up entirely of carbon atoms.","valueExpand":[{"tag":"other_condition","content":"A pure diamond is made up entirely of carbon atoms.","slot":"ActionToClass"}]},{"type":"other","value":"The weight of a diamond is given in carats.","valueExpand":[{"tag":"other_condition","content":"The weight of a diamond is given in carats.","slot":"ActionToClass"}]},{"type":"other","value":"One carat is equivalent to 200 mg","valueExpand":[{"tag":"other_condition","content":"One carat is equivalent to 200 mg","slot":"ActionToClass"}]}]	0		0
