combustion	combustion
The complete combustion of octane, C8H18(l)	OTHER
Solid sodium with water to form hydroxide solution	OTHER
STP	STP
ConstantTemperature	constant temperature
Ksp = 2.6 × 10^(-13)	OTHER
Carbon monoxide can react with oxygen to form carbon dioxide.	OTHER
combust	combustion
The weight of a diamond is given in carats.	OTHER
Diluting this solution with water.	OTHER
Photosynthesis	Photosynthesis
H2O, is made via its formation reaction.	OTHER
a compound dissolved in 4 L of water.	OTHER
constant temperature	constant temperature
The reaction between acetic acid and sodium hydroxide	OTHER
One carat is equivalent to 200 mg	OTHER
limiting reagent	OTHER
C2H6 is burned in excess oxygen gas.	OTHER
Henderson-Hasselbalch equation	OTHER
The substance yields H2O and CO2.	OTHER
neutralize	neutralize
complete combustion	complete combustion
Excess copper(II) sulfate is added to the solution of sodium hydroxide	OTHER
As it expands, it does 118.9 J of work on its surroundings at a constant pressure of 783 torr.	OTHER
MCl2 is dissolved in water and treated with excess aqueous silver nitrate.	OTHER
deltaH(rxn) = + 53 kJ	OTHER
A Rolaids tablet contains calcium carbonate for neutralizing stomach acid.	OTHER
dissociation reaction	OTHER
Answer in mol to 3 s.d. in proper scientific notation	OTHER
Incomplete combustion	Incomplete combustion
A plot of 1/AB versus time yields a straight line with slope 5.6 × 10^(−2) (M.s)^(−1).	OTHER
The pressure remains constant.	OTHER
Avogadro's constant	Avogadro constant
Conjugate base	Conjugate base
The doctor orders a medication as 5.00 mg/kg of body weight.	OTHER
Pt(NH3)2Cl2; Molar mass: 300 g mol-1	OTHER
an excess of chlorine gas	OTHER
Given, log(5.84) = 0.7664 & antilog of 0.6064 is 4.04.	OTHER
Completely combusted	OTHER
A pure diamond is made up entirely of carbon atoms.	OTHER
HF reacts with excess sodium silicate.	OTHER
Given Ka(HA) is 1.75 × 10^(-5) M.	OTHER
The temperature of the block of aluminum increased by 15.2 °C	OTHER
hydrogen that was collected over water.	OTHER
Magnesium reacts with titanium(4) chloride to produce magnesium chloride and titanium metal.	OTHER
Ar is mixed with O2 in the flask.	OTHER
A heat of reaction equal to heat of formation for HCl(g)	OTHER
C2H6 reacts with molecular oxygen to produce carbon dioxide and water.	OTHER
Arsenic reacts with chlorine to form a chloride.	OTHER
a weak acid is 20% ionized	OTHER
A flask contains oxygen, carbon dioxide, and nitrogen gases.	OTHER
Titrates completely.	OTHER
reach the equivalence point in a titration	OTHER
Hydrochloric acid titrated a sample of metal carbonate.	OTHER
In standardization	OTHER
A buffer solution is prepared by mixing 1.0 mole of HA and 1.0 mole of NaA into 1.0 L distilled water.	OTHER
Limiting reagent	OTHER
The solubility product constant, Ksp, is 38.65.	OTHER
Actually yields 12.3 grams less than expected.	OTHER
burn	burn
Solid zinc carbonate is heated and broken down into solid zinc oxide and carbon dioxide gas.	OTHER
SO3^2- is in equilibrium with Ag2SO3(s) and Ag+.	OTHER
[H+] = 2.3 × 10^(−6)	OTHER
Burns completely in O2.	OTHER
When water freezes, ice is formed.	OTHER
Adequate amount of lead (IV) sulfate.	OTHER
EXCESS zinc metal.	OTHER
each As^(−3)	OTHER
An organic sample has C, H, and the balance was oxygen.	OTHER
Excess H2SO4.	OTHER
DeltaH = 104 kcal/mol	OTHER
Styrene has the empirical formula CH.	OTHER
ConstantTemperature	constant_temperature
Standard-slate conditions.	OTHER
[H^+] = 2.3 × 10^(−3)	OTHER
Fierce heating.	OTHER
A metal whose oxide is M2O3.	OTHER
STP	STP
N2O, is oxidized by dioxygen gas to NO2(g).	OTHER
the substance changes from a liquid to a gas	OTHER
Air containing Ar is repeatedly passed over hot Cu and hot Mg till no reduction of volume takes place.	OTHER
[H^+] is 100 times greater than [OH^-].	OTHER
BF3 contains the same number of molecules as water.	OTHER
Excess oxygen.	OTHER
NH3 is a weak base.	OTHER
A gas sample contains only SO2, PF3, and CO.	OTHER
Completely react.	OTHER
A balloon full of air	OTHER
Nitric acid was required for equivalence with sodium carbonate.	OTHER
Complete combustion	OTHER
HCl is a strong acid.	OTHER
H2C2O4, occurs as the potassium or calcium salt in many plants	OTHER
The decomposition of potassium KClO3 is used as a source of oxygen in the laboratory.	OTHER
A straight-chained hydrocarbon contains carbon, the rest hydrogen.	OTHER
Standard conditions	OTHER
A sample of gas is collected over water.	OTHER
Na(s) reacts with excess F2(g) to form NaF(s).	OTHER
Acetate is the conjugate base of acetic acid.	OTHER
The empirical formula of the compound is C2H3.	OTHER
Henderson-Hasselbalch equation	OTHER
DeltaH^{0}_{rxn} = −92.6 kJ/mol	OTHER
A metallic element X forms a carbonate with the formula X(CO3)2.	OTHER
Menthol, the substance we can smell in mentholated cough drops, is composed of C, H, and O.	OTHER
NTP	NTP
Combusted	Combusted
neutralize	neutralize
NTP	NTP
constant_temperature	constant_temperature
OTHER	OTHER
complete_combustion	complete_combustion
Combusted	Combusted
combustion	combustion
Photosynthesis	Photosynthesis
burn	burn
STP	STP
Avogadro_constant	Avogadro_constant
Conjugate_base	Conjugate_base
Incomplete_combustion	Incomplete_combustion
