Pressure2	pressure
Percent composition	percent composition
Molarity1	molarity
Absorb heat	heat energy
Pressure1	pressure
density	density
Kf	kf
mass	mass
Heat energy	heat energy
Volume	volume
Heat released	heat energy
Avogadro's constant	avogadro constant
Solubility	solubility
Volume1	volume
Molarity2	molarity
Concentration2	concentration
Volume3	volume
Molar ratio	molar ratio
vapour pressure	vapor pressure
Molecular weight	molecular weight
Molar concentration	molarity
specific heat	specific heat
Increased temperature	temperature
temperature2	temperature
MM	mm
PH2	ph
Molar solubility	molar solubility
Normality	normality
Molality	molality
Partial pressure	partial pressure
theoretical yield	theoretical yield
Mass	mass
PH	ph
Mass %	mass percent
Final volume	volume
needed heat	heat energy
Mole1	mole
Total pressure	total pressure
concentration1	concentration
PH1	ph
Temperature1	temperature
Kb	kb
C_{{p}}	heat capacity ratio
percent yield	percent yield
Dosage	mass
Initial temperature1	initial temperature
Percentage	percent
actual yield	actual yield
The rate constant (K)	equilibrium constant k
pH	ph
Molarity percent1	molarity percent
Percent yield	percent yield
acid concentration	acid concentration
concentration	concentration
equilibrium constant K	equilibrium constant k
Percent	percent
Mass percent	mass percent
Specific heat capacity	specific heat capacity
Molarity3	molarity
Theoretical yield	theoretical yield
Concentration	concentration
Percentage composition	percent composition
Percentage yield	percent yield
temperature1	temperature
pKa	pka
Molecular	molar mass
Atomic mass	atomic mass
osmolarity	osmolarity
Weight	mass
Specific heat	specific heat
Ka	ka
Change in pH	ph
Pressure	pressure
vapor pressure	vapor pressure
Maximum amount	maximum amount
Coefficient	coefficient
Changed temperature	temperature
%	percent
Mole	mole
Number of moles	mole
Required energy	energy
Atomic weight	atomic mass
Oxidation number	oxidation number
Heat absorbed	heat energy
Volume2	volume
Molar mass	molar mass
Ksp	equilibrium constant k
Mole2	mole
Number	number
Mass1	mass
Tf	freezing point temperature
m/v	mass concentration
Molarity percent2	molarity percent
Thermal energy	thermal energy
Temperature	temperature
Quantity	quantity
Temperature2	temperature
Equivalent weight	equivalent weight
Temperature raised	temperature
w/v	mass concentration
mole fraction	mole fraction
Mass%	mass percent
Density	density
Heat	heat energy
Molarity	molarity
Energy	energy
Applied heat	heat energy
Oxidation number	oxidation_number
Molarity1	molarity
Specific heat	specific_heat
Volume	volume
Total pressure	total_pressure
Specific heat capacity	specific_heat_capacity
Mass	mass
Mass2	mass
pH	ph
Percent yield	percent_yield
Kb	kb
Coefficient	coefficient
Molarity2	molarity
Heat released	heat_energy
Thermal energy	thermal_energy
Temperature1	temperature
Energy	energy
Volume1	volume
Temperature3	temperature
Temperature	temperature
Mole	mole
Percent composition	percent_composition
Molarity	molarity
Number	number
Actual yield	actual yield
Vapour pressure	vapor_pressure
Pressure1	pressure
Molality	molality
Temperature2	temperature
Maximum amount	maximum_amount
Partial pressure	partial_pressure
Volume2	volume
Mole fraction	mole fraction
Molar mass	molar_mass
Temperature raised	temperature
Mass1	mass
Pressure	pressure
mass	mass
Weight	mass
Ksp	equilibrium_constant_k
Density	density
Concentration	concentration
Percent	percent
Molar concentration	molarity
Pressure2	pressure
Solubility	solubility
Theoretical yield	theoretical_yield
DeltaH^{0}_{f}	deltah^{0}_{f}
Heat added	heat energy
Heat energy absorbed	heat energy
Solubility product	solubility product
DeltaH(rxn)	deltah(rxn)
Standard enthalpy	standard enthalpy
Ratio	ratio
Molecular mass	molecular weight
DeltaG^0	deltag^0
Osmotic pressure	osmotic pressure
Added heat energy	heat energy
Proportion	ratio
Amount	mass
Pressure exerted	pressure
Boiling point	boiling point temperature
Heat given off	heat energy
Actual yield	actual yield
Energy absorbed	heat energy
Molar enthalpy of vaporization	molar enthalpy of vaporization
Reaction enthalpy	reaction enthalpy
Oxidation state	oxidation state
Temperature increased	temperature
Heat evolved	heat energy
Yield	percent yield
Oxidation states	oxidation state
Multiplier	multiplier
Freezing point Changed	freezing point temperature
Amount of energy	heat energy
Number lost or gained	number
O.N	o.n
Heat needed	heat energy
Temperature changed	temperature
Heat required	heat energy
Constant pressure	pressure
