The molecular formula for vitamin C is C6H8O6.	OTHER
All the hydrogen was recovered as water.	OTHER
Combusrs completed.	OTHER
One piece of copper jewelry has exactly twice the mass of another piece.	OTHER
Fierce heating.	OTHER
Butane burns completely in air	OTHER
Sample of oxygen gas that contains Avogadro's number of atoms.	OTHER
A gas sample contains only SO2, PF3, and CO.	OTHER
HF is a weak acid.	OTHER
The complete combustion of octane, C8H18(l)	OTHER
Excess iron(II) oxide.	OTHER
Empirical formula of the substance is NPCl2.	OTHER
Use the oxidation number method.	OTHER
SO3^2- is in equilibrium with Ag2SO3(s) and Ag+.	OTHER
Pt(NH3)2Cl2; Molar mass: 300 g mol-1	OTHER
Assume no changes of volume occurs when NaOCl salt is added.	OTHER
It freezes at its freezing point.	OTHER
Lactic acid HC3H5O3 has one acidic hydrogen.	OTHER
Sufficient nitrogen gas.	OTHER
The desired product was collected by immediate distillation under gentle warming.	OTHER
Completely melt.	OTHER
An unknown compound consisting of potassium, chlorine, and oxygen.	OTHER
Exactly react.	OTHER
The sample of a gaseous compound contains only boron and hydrogen.	OTHER
The molecular formula of the compound is N2O4.	OTHER
A compound contains only an unknown metal and chlorine.	OTHER
Excess N2.	OTHER
Magnesium contains the same number of atoms as calcium.	OTHER
Na(s) reacts with excess F2(g) to form NaF(s).	OTHER
A sample of a compound of nitrogen and oxygen.	OTHER
Completely combust.	OTHER
Lead(II) nitrate solution reacts completely with excess sodium iodide solution.	OTHER
Acetate is the conjugate base of acetic acid.	OTHER
an excess of chlorine gas	OTHER
At equilibrium.	OTHER
Combusted completely.	OTHER
A gas simultaneously compressed to one third of its original volume.	OTHER
C2H6 is burned in excess oxygen gas.	OTHER
Enough water.	OTHER
Particular temperature.	OTHER
DeltaH^{0}_{rxn} = −92.6 kJ/mol	OTHER
When water freezes, ice is formed.	OTHER
in the Lewis structure	OTHER
In terms of Ksp.	OTHER
Its rate constant is twice as large.	OTHER
maintain the same volume.	OTHER
The substance yields H2O and CO2.	OTHER
Volume doubles.	OTHER
React to completion.	OTHER
SO2 has the same number of molecules as CO2.	OTHER
To resolve an object in an electron microscope, the wavelength of the electrons must be close to the diameter of the object.	OTHER
Use Hess's Law.	OTHER
A balloon full of air	OTHER
Assume no volume change.	OTHER
An unknown compound contains only C, H, and O.	OTHER
Assume the reaction goes to completion complete pressure.	OTHER
A saturated solution of PbBr2 is prepared by dissolving the solid salt in water.	OTHER
Oxygen gas is in excess.	OTHER
Enough magnesium chloride.	OTHER
Decompose completely.	OTHER
Water is heated until it just begins to boil.	OTHER
Limestone contains no carbonate other than CaCO3.	OTHER
Sufficient water.	OTHER
Group 2 metal.	OTHER
Excess Cl2.	OTHER
Excess of ethane.	OTHER
Standard temperature and pressure.	OTHER
The compound has the empirical formula C2H3.	OTHER
limiting reagent	OTHER
Incomplete combustion	Incomplete_combustion
The other product in the extraction reaction is carbon dioxide.	OTHER
Change solid water to liquid water.	OTHER
the substance changes from a liquid to a gas	OTHER
Excess pure O2.	OTHER
Excess of hydrochloric acid.	OTHER
dissociation reaction	OTHER
Excess of H2S.	OTHER
Pressure remaining constant.	OTHER
Allow to reach thermal equilibrium.	OTHER
Aluminum oxide is decomposed to extract pure aluminum from the mineral.	OTHER
Excess H2.	OTHER
The volume does not change.	OTHER
Neutralize completely.	OTHER
Under conditions of NTP.	OTHER
Atmospheric pressure.	OTHER
Excess copper(II) nitrate.	OTHER
Excess of sulfuric acid.	OTHER
Completely neutralize.	OTHER
The compound has an empirical formula of CH2.	OTHER
Saturated solution.	OTHER
Nicotine is composed of C, H, and N.	OTHER
Excess methane.	OTHER
Sufficient amount of water.	OTHER
A sample of an unknown metal chlorate is heated until all of the oxygen is driven off.	OTHER
A flask contains oxygen, carbon dioxide, and nitrogen gases.	OTHER
The same amount of heat.	OTHER
Initially, the balloon is at sea level.	OTHER
Complete neutralization.	OTHER
Excess copper(II) sulfate is added to the solution of sodium hydroxide	OTHER
Assume the volume remains constant.	OTHER
Excess of magnesium turnings.	OTHER
CaCO3 undergo decomposition from CaO and CO2.	OTHER
The same container of gas.	OTHER
Chlorate candles are used to produce emergency oxygen.	OTHER
The volume is kept constant.	OTHER
Complete combustion.	OTHER
A compound's empirical formula is C2H5.	OTHER
Completely oxidized in air.	OTHER
The solubility product constant, Ksp, is 38.65.	OTHER
A plot of 1/AB versus time yields a straight line with slope 5.6 × 10^(−2) (M.s)^(−1).	OTHER
Assume the moles of EDTA are equal to the moles of MgCO3.	OTHER
Nitric acid was required for equivalence with sodium carbonate.	OTHER
Assume coke can be represented by graphite.	OTHER
all of the CO2 in soda evolves from solution.	OTHER
A metal whose oxide is M2O3.	OTHER
constant temperature	constant_temperature
Diluting this solution with water.	OTHER
Excess sodium metal.	OTHER
An organic sample has C, H, and the balance was oxygen.	OTHER
Enough of a monoprotic acid is dissolved in water.	OTHER
CaC2 reacts completely with water.	OTHER
Complete combustion	OTHER
Magnesium reacts with titanium(4) chloride to produce magnesium chloride and titanium metal.	OTHER
A molar volume of gas.	OTHER
Each photon absorbed causes one O3 molecule to dissociate.	OTHER
The pressure inside the balloon remains constant.	OTHER
NaCl are dissolved in enough water to create a solution	OTHER
Excess copper (II) nitrate.	OTHER
Titrates completely.	OTHER
The reaction species reached equilibrium.	OTHER
Gas, that was produced after burning methanol and ethanol mixture were let through lime water.	OTHER
Excess of HBr .	OTHER
A compound has the empirical formula CHCl.	OTHER
Excess of C3H8.	OTHER
Same osmotic pressure.	OTHER
Excess of hydrogen.	OTHER
combustion	combustion
The volume V of gas varies inversely as the pressure P on it.	OTHER
Elemental sulfur occurs as octatomic molecules, S8.	OTHER
Combust completely.	OTHER
a compound containing C,H, and O	OTHER
Excess H2SO4.	OTHER
In standardization	OTHER
The reaction has occurred as completely as possible.	OTHER
Standard-slate conditions.	OTHER
Using the method of half-equations.	OTHER
a compound dissolved in 4 L of water.	OTHER
The formula for the oxalate ion is C2O4^2-.	OTHER
Calcium metal (Ca) can be produced by passing an electric current through molten calcium chloride (CaCl2).	OTHER
Excess of Mg.	OTHER
NTP	NTP
Heat above 100 °C.	OTHER
Water boils at atmospheric pressure.	OTHER
Atmospheric pressure does not change,	OTHER
A substance has a molecular formula of C8H10N4O2.	OTHER
A molecule of silver nitrate contains a polyatomic ion.	OTHER
The reaction is in acidic solution.	OTHER
Completely consume.	OTHER
Completely combuste.	OTHER
The molecular formula for phtalic acid is C8H6O4.	OTHER
Styrene has the empirical formula CH.	OTHER
An oxalic acid solution exact concentration is determined by an acid-base titration. Then, the oxalic acid solution is used to determine the concentration of a potassium permanganate solutionby a redox titration.	OTHER
The decomposition of potassium KClO3 is used as a source of oxygen in the laboratory.	OTHER
Standard pressure.	OTHER
Standard conditions.	OTHER
react completely	OTHER
All of the limiting reactant reacted.	OTHER
Cl2 gas is non-ideal.	OTHER
An ionic compound forms when calcium reacts with iodine.	OTHER
