a9a338de-6ddd-11ea-9ba4-ccda262736ce	How many elements, in total, are joined together to form magnesium chloride?	start physical_unit 2 2 number none qc_end substance 10 11 qc_end end
a9e03bac-6ddd-11ea-9161-ccda262736ce	What is the empirical formula for a compound that is 36.1% Ca and 63.9% CI?	start chemical_formula qc_end end
a9db3310-6ddd-11ea-8201-ccda262736ce	What is the pH of 2.34 × 10^(-5) M NaOH solution?	start physical_unit 9 10 ph none qc_end physical_unit 9 10 5 8 molarity qc_end end
ab4505b9-6ddd-11ea-a6d9-ccda262736ce	What is the net ionic equation for the reaction between hydroiodic acid, and potassium hydroxide?	start chemical_equation qc_end substance 10 11 qc_end substance 13 14 qc_end end
aab42890-6ddd-11ea-813b-ccda262736ce	What is the pH of a 6.49 × 10^(-3) M KOH solution?	start physical_unit 10 11 ph none qc_end physical_unit 10 11 6 9 molarity qc_end end
a8ca630b-6ddd-11ea-99c8-ccda262736ce	How do you balance  Mg + H3PO4 -> Mg3(PO4)2 + H2 ?	start chemical_equation qc_end chemical_equation 4 10 qc_end end
a8c11406-6ddd-11ea-ad59-ccda262736ce	If 0.276 mol silver chloride was collected from a reaction between silver nitrate and magnesium chloride, how many equiv magnesium nitrate were used?	start physical_unit 19 20 mole mol qc_end physical_unit 3 4 1 2 mole qc_end substance 11 12 qc_end substance 14 15 qc_end end
a8bf8d77-6ddd-11ea-b338-ccda262736ce	How many moles of ammonium nitrate are in 335 mL of 0.425 M NH4NO3?	start physical_unit 13 13 mole mol qc_end physical_unit 13 13 8 9 volume qc_end physical_unit 13 13 11 12 molarity qc_end end
a97f704c-6ddd-11ea-a601-ccda262736ce	A mixture of N2, O2, and CO2 has a total pressure of 740 torr. In this mixture, the partial pressure of N2 is 120 torr and the partial pressure of O2 is 400 torr. What is the partial pressure of CO2?	start physical_unit 6 6 partial_pressure torr qc_end physical_unit 1 1 12 13 total_pressure qc_end physical_unit 4 4 32 33 partial_pressure qc_end physical_unit 3 3 23 24 partial_pressure qc_end end
abfb77aa-6ddd-11ea-96ac-ccda262736ce	What is the volume of 4.5 g of CO2?	start physical_unit 8 8 volume ml qc_end physical_unit 8 8 5 6 mass qc_end end
a90e51e2-6ddd-11ea-a0a4-ccda262736ce	A student observes that 36.76 mL of 1.013 M NaOH are required to neutralize a 12.23 mL aqueous solution of sulfuric acid. What is the concentration of sulfuric acid in the initial sample?	start physical_unit 20 21 concentration mol/l qc_end physical_unit 18 18 4 5 volume qc_end physical_unit 9 9 7 8 concentration qc_end physical_unit 18 18 15 16 volume qc_end end
a87f6d68-6ddd-11ea-8ade-ccda262736ce	Find the mass of urea, CO(NH2)2, needed to prepare 49.0 g of a solution in water in which the mole fraction of urea is 7.58 × 10^(−2)?	start physical_unit 5 5 mass g qc_end physical_unit 13 15 9 10 mass qc_end physical_unit 5 5 24 26 mole_fraction qc_end end
a9b919a3-6ddd-11ea-ae01-ccda262736ce	What is the chemical formula for blue vitriol, whose systematic name is copper(II) sulfate?	start chemical_formula qc_end substance 12 13 qc_end end
a94394a8-6ddd-11ea-9b79-ccda262736ce	2 NH3(aq) + H2SO4(aq) -> (NH4)2SO4(aq). How many grams of ammonium sulfate can be produced if 60.0 mol of sulfuric acid react with an excess of ammonia?	start physical_unit 10 11 mass g qc_end chemical_equation 0 5 qc_end physical_unit 19 20 16 17 mole qc_end c_other OTHER qc_end end
aa868fb0-6ddd-11ea-84bc-ccda262736ce	What is the empirical formula of Vanillin?	start chemical_formula qc_end substance 6 6 qc_end end
a93cde06-6ddd-11ea-8501-ccda262736ce	The concentration of aqueous methanol is 10% of its mass. What is the molar fraction of methanol?	start physical_unit 4 4 molar_ratio none qc_end physical_unit 3 4 6 6 concentration qc_end end
aa2012ec-6ddd-11ea-a513-ccda262736ce	How would you balance the following equation: Fe + O2 -> Fe2O3?	start chemical_equation qc_end chemical_equation 7 11 qc_end end
a9f6698a-6ddd-11ea-9ac8-ccda262736ce	What is the the volume occupied by 2.34 g of carbon dioxide gas at STP?	start physical_unit 10 12 volume l qc_end physical_unit 10 12 7 8 mass qc_end c_other STP qc_end end
a9a31340-6ddd-11ea-afed-ccda262736ce	How do you write a equation for "Aluminum + copper (ll) sulfate -> copper + aluminum sulfate"?	start chemical_equation qc_end chemical_equation 7 16 qc_end end
a8df89a9-6ddd-11ea-acf5-ccda262736ce	How do you balance Zn(OH)2 + CH3COOH -> ZN(CH3COO)2 + H2O?	start chemical_equation qc_end chemical_equation 4 10 qc_end end
a903f2e4-6ddd-11ea-8e8d-ccda262736ce	A balloon has a volume of 253.2 L at 356 K. The volume of the balloon is decreased to 165.4 L. What is the new temperature?	start physical_unit 14 15 temperature k qc_end physical_unit 14 15 6 7 volume qc_end physical_unit 14 15 9 10 temperature qc_end physical_unit 14 15 19 20 volume qc_end end
a8616c0c-6ddd-11ea-9209-ccda262736ce	How much energy is required to raise the temperature of 3 g of silver from 15 °C to 20 °C?	start physical_unit 13 13 energy j qc_end physical_unit 13 13 15 16 temperature qc_end physical_unit 13 13 18 19 temperature qc_end physical_unit 13 13 10 11 mass qc_end end
ab089734-6ddd-11ea-8fab-ccda262736ce	Combustion data of an organic compound yielded 74.0%,C; 7.4%, H; 8.6%, N; and the balance oxygen. What is the empirical formula?	start chemical_formula qc_end substance 15 15 qc_end end
a9922389-6ddd-11ea-9682-ccda262736ce	Analysis of a compound shows that it contains 7.0 g nitrogen and 16.0 g oxygen. What is its empirical formula?	start chemical_formula qc_end physical_unit 10 10 8 9 mass qc_end physical_unit 14 14 12 13 mass qc_end end
a9d6509c-6ddd-11ea-b361-ccda262736ce	How would you balance the following equation: Na2CO3 + BaCl2 -> NaCl + BaCO3?	start chemical_equation qc_end chemical_equation 7 13 qc_end end
aab4ec2c-6ddd-11ea-bac5-ccda262736ce	A sample of neon has a volume of 75.8 L at STP. How many moles are present? 	start physical_unit 1 3 mole mol qc_end physical_unit 1 3 8 9 volume qc_end c_other STP qc_end end
aa588338-6ddd-11ea-9bb5-ccda262736ce	A gas expands from 35 ml to 70 ml. if the temperature was at 22 celsius, what will the final temperature be?	start physical_unit 1 1 temperature °c qc_end physical_unit 1 1 14 15 temperature qc_end physical_unit 1 1 4 5 volume qc_end physical_unit 1 1 7 8 volume qc_end end
ac4cbd0a-6ddd-11ea-8f4c-ccda262736ce	A quantity of N2 gas originally held at 4.75 atm in a 1.00 L container at 26 °C is transferred to a 10.0 L container at 20 °C. What is the total pressure in the new container?	start physical_unit 3 4 pressure atm qc_end physical_unit 3 4 8 9 pressure qc_end physical_unit 3 4 12 13 volume qc_end physical_unit 3 4 16 17 temperature qc_end physical_unit 3 4 22 23 volume qc_end physical_unit 3 4 26 27 temperature qc_end end
ab2605b8-6ddd-11ea-8617-ccda262736ce	What mass is a sample of oxygen gas that contains Avogadro's number of atoms?	start physical_unit 4 7 mass g qc_end c_other OTHER qc_end end
